GRB090926A
Pass 8
RA: 353.56, Dec: -66.37, Error: 0.06 degrees
MET Trigger Time: 275631628.990, Redshift: 2.11
3 degree extended list, 1000 seconds before and after trigger time

| ENERGY(MeV) | TIME(Seconds) | DISTANCE(Degrees) | CLASSIFICATION |
|     133.031 |   22.67249840 |             1.976 |         PHOTON |
|     174.599 |   23.39086235 |             2.232 |         PHOTON |
|      72.742 |   23.49555236 |             0.667 |          EVENT |
|     878.153 |   23.57134134 |             1.912 |         PHOTON |
|     996.107 |   23.97941732 |             1.012 |         PHOTON |
|     212.781 |   24.15479672 |             0.241 |         PHOTON |
|     635.633 |   24.29335165 |             0.284 |         PHOTON |
|      74.353 |   24.79879624 |             2.659 |         PHOTON |
|   19459.947 |   24.83495963 |             0.009 |         PHOTON |
|     586.846 |   24.99793756 |             0.427 |         PHOTON |
|     910.031 |   25.27654022 |             1.807 |         PHOTON |
|      80.217 |   25.30432039 |             1.486 |          EVENT |
|     692.778 |   25.32232583 |             0.496 |         PHOTON |
|      61.821 |   25.56184173 |             1.991 |          EVENT |
|     187.659 |   25.74305743 |             2.325 |         PHOTON |
|     541.589 |   26.30920434 |             0.335 |         PHOTON |
|     317.774 |   26.85716593 |             0.491 |         PHOTON |
|      53.934 |   26.92078561 |             2.946 |          EVENT |
|     170.560 |   28.03173971 |             1.424 |         PHOTON |
|     394.443 |   28.54115260 |             0.221 |         PHOTON |
|     542.641 |   28.84635973 |             0.403 |         PHOTON |
|     112.703 |   29.21567506 |             0.567 |          EVENT |
|     668.921 |   29.93851489 |             0.926 |         PHOTON |
|     129.498 |   30.11602086 |             2.761 |         PHOTON |
|      36.598 |   30.36109257 |             2.893 |          EVENT |
|      60.876 |   31.96415770 |             0.268 |          EVENT |
|     138.876 |   33.36104923 |             0.589 |         PHOTON |
|     290.781 |   33.54475766 |             2.574 |         PHOTON |
|    1158.967 |   34.11292887 |             0.615 |         PHOTON |
|    2192.802 |   34.68966794 |             0.340 |         PHOTON |
|     210.651 |   35.68635261 |             0.436 |         PHOTON |
|     267.701 |   36.09302056 |             2.029 |         PHOTON |
|     208.497 |   37.50139934 |             0.309 |         PHOTON |
|    6188.551 |   38.98674303 |             0.176 |         PHOTON |
|      53.960 |   39.17863333 |             1.636 |          EVENT |
|     247.626 |   43.42714071 |             2.098 |         PHOTON |
|     163.391 |   43.92492515 |             2.852 |         PHOTON |
|      85.739 |   44.33162606 |             2.993 |         PHOTON |
|    2242.787 |   45.63899350 |             0.045 |         PHOTON |
|     105.061 |   46.48823166 |             1.432 |          EVENT |
|     285.339 |   48.49379551 |             1.131 |          EVENT |
|      58.910 |   49.15739840 |             1.640 |         PHOTON |
|     199.531 |   49.20467043 |             2.161 |          EVENT |
|      83.264 |   49.27037120 |             1.661 |          EVENT |
|     271.539 |   49.81914628 |             1.358 |          EVENT |
|     204.579 |   50.59791559 |             2.644 |          EVENT |
|     187.022 |   50.74435657 |             1.296 |         PHOTON |
|      56.328 |   51.18163341 |             1.314 |         PHOTON |
|     252.112 |   51.69025880 |             2.558 |         PHOTON |
|      98.871 |   52.30747122 |             1.041 |         PHOTON |
|      62.466 |   52.32357240 |             2.379 |          EVENT |
|      91.470 |   52.53674519 |             0.951 |         PHOTON |
|      99.499 |   53.17030019 |             2.024 |          EVENT |
|      66.483 |   54.17750788 |             1.470 |          EVENT |
|    1542.007 |   54.39983618 |             0.857 |         PHOTON |
|    1124.962 |   55.67246419 |             2.656 |         PHOTON |
|    3103.665 |   59.54703814 |             0.138 |         PHOTON |
|     119.392 |   60.22756189 |             1.425 |          EVENT |
|    7719.723 |   60.28406596 |             0.253 |         PHOTON |
|     769.713 |   61.19653296 |             1.498 |         PHOTON |
|     157.153 |   63.52914584 |             0.728 |         PHOTON |
|     308.428 |   63.58203864 |             0.527 |         PHOTON |
|      90.700 |   64.96041006 |             1.196 |         PHOTON |
|     449.514 |   65.23637855 |             0.145 |         PHOTON |
|     437.835 |   68.27615684 |             1.738 |         PHOTON |
|     430.038 |   69.36830693 |             1.475 |         PHOTON |
|     327.032 |   71.62254357 |             0.799 |         PHOTON |
|     139.986 |   73.24794561 |             0.745 |         PHOTON |
|    1082.449 |   74.77888852 |             0.506 |         PHOTON |
|     975.501 |   77.18271297 |             1.148 |          EVENT |
|     318.836 |   77.70358735 |             1.040 |         PHOTON |
|    3910.814 |   77.79939270 |             0.329 |         PHOTON |
|     235.948 |   80.21099979 |             0.615 |         PHOTON |
|      95.192 |   81.18770522 |             2.572 |          EVENT |
|     212.649 |   83.85829318 |             2.098 |          EVENT |
|    2780.244 |   91.55677146 |             1.100 |         PHOTON |
|    6258.262 |   92.00869441 |             1.407 |         PHOTON |
|     136.028 |   92.45221323 |             1.722 |          EVENT |
|     375.926 |  102.78530598 |             0.372 |         PHOTON |
|     171.711 |  110.09171891 |             0.556 |         PHOTON |
|    2402.273 |  111.61432618 |             0.119 |         PHOTON |
|     144.531 |  114.94575274 |             2.016 |         PHOTON |
|     146.040 |  133.13313103 |             0.584 |          EVENT |
|     216.242 |  135.07312322 |             0.540 |         PHOTON |
|     193.060 |  145.36300057 |             2.947 |         PHOTON |
|     534.032 |  150.85196334 |             1.033 |         PHOTON |
|     347.290 |  158.11500359 |             2.901 |         PHOTON |
|    1585.660 |  164.52071798 |             0.427 |         PHOTON |
|     145.924 |  167.38592803 |             1.207 |         PHOTON |
|      98.226 |  167.86471111 |             2.197 |         PHOTON |
|     179.363 |  182.14439040 |             1.983 |         PHOTON |
|    2144.699 |  198.99235642 |             1.183 |         PHOTON |
|     465.337 |  206.46471894 |             0.136 |          EVENT |
|     179.138 |  208.90603268 |             1.463 |         PHOTON |
|     548.170 |  217.20415580 |             0.694 |          EVENT |
|    4954.049 |  218.91958117 |             0.657 |         PHOTON |
|     319.520 |  233.92222750 |             0.660 |         PHOTON |
|     113.537 |  237.33605397 |             1.315 |          EVENT |
|     140.370 |  239.10313296 |             1.774 |         PHOTON |
