GRB080916C
Pass 8
RA: 119.89, Dec: -56.70, Error: 0.07 degrees
MET Trigger Time: 243216766.620, Redshift: 4.35
3 degree extended list, 1000 seconds before and after trigger time

| ENERGY(MeV) | TIME(Seconds) | DISTANCE(Degrees) | CLASSIFICATION |
|     153.668 |   36.64608514 |             2.591 |         PHOTON |
|     374.467 |   36.74843505 |             2.399 |         PHOTON |
|      34.983 |   37.09184071 |             0.911 |         PHOTON |
|      79.332 |   37.36766851 |             1.824 |         PHOTON |
|     204.605 |   37.37593654 |             0.824 |          EVENT |
|     140.245 |   37.89897719 |             1.789 |         PHOTON |
|      34.903 |   38.11230746 |             1.783 |         PHOTON |
|     261.286 |   38.38892332 |             1.363 |          EVENT |
|     817.587 |   39.88489944 |             0.299 |          EVENT |
|   27428.805 |   40.50245160 |             0.035 |         PHOTON |
|     526.504 |   40.65571713 |             0.283 |          EVENT |
|     448.483 |   40.96847701 |             0.629 |          EVENT |
|     224.007 |   41.96309510 |             0.997 |          EVENT |
|     243.994 |   42.07515112 |             1.125 |         PHOTON |
|     930.888 |   42.14567417 |             0.491 |         PHOTON |
|      56.023 |   42.44996563 |             0.911 |         PHOTON |
|     966.404 |   42.90518278 |             0.162 |          EVENT |
|     605.974 |   43.11249980 |             0.191 |         PHOTON |
|     242.158 |   43.45129195 |             0.545 |         PHOTON |
|     199.487 |   43.56801242 |             1.358 |          EVENT |
|     899.387 |   43.67369959 |             0.367 |         PHOTON |
|     206.699 |   43.74255389 |             0.775 |         PHOTON |
|      85.608 |   43.82735044 |             1.281 |          EVENT |
|    5707.021 |   43.99206814 |             0.109 |         PHOTON |
|      81.680 |   44.32197952 |             2.860 |         PHOTON |
|     773.581 |   45.15162632 |             0.404 |         PHOTON |
|     167.507 |   45.26440567 |             0.693 |         PHOTON |
|     334.287 |   45.78311011 |             1.073 |         PHOTON |
|      80.997 |   45.86203432 |             1.895 |          EVENT |
|     309.194 |   46.20130360 |             1.173 |         PHOTON |
|     152.695 |   47.50841564 |             0.672 |         PHOTON |
|      80.027 |   48.75419074 |             2.431 |          EVENT |
|     145.720 |   49.10167867 |             2.035 |         PHOTON |
|     106.672 |   50.82786870 |             2.973 |          EVENT |
|      64.453 |   53.02014986 |             2.806 |         PHOTON |
|     464.473 |   55.57510391 |             1.726 |         PHOTON |
|     299.002 |   58.30154637 |             0.616 |         PHOTON |
