GRB090510
Pass 8
RA: 333.57, Dec: -26.62, Error: 0.05 degrees
MET Trigger Time: 263607781.970, Redshift: 0.9
3 degree extended list, 1000 seconds before and after trigger time

| ENERGY(MeV) | TIME(Seconds) | DISTANCE(Degrees) | CLASSIFICATION |
|     228.919 |   29.43840042 |             2.866 |         PHOTON |
|     128.628 |   29.45604739 |             2.273 |          EVENT |
|      96.889 |   29.66555616 |             2.742 |         PHOTON |
|     239.004 |   31.07902732 |             1.247 |          EVENT |
|      85.920 |   36.86174500 |             2.149 |          EVENT |
|    1291.969 |   38.60182616 |             0.274 |         PHOTON |
|      76.760 |   38.75381792 |             1.574 |         PHOTON |
|    1845.557 |   45.23310679 |             0.302 |         PHOTON |
|     216.214 |   45.60275209 |             1.171 |         PHOTON |
|     196.867 |   46.08319092 |             1.603 |         PHOTON |
|     514.686 |   47.63392070 |             0.098 |         PHOTON |
|    1542.326 |   47.99621928 |             0.797 |         PHOTON |
|     157.790 |   49.61960399 |             1.850 |         PHOTON |
|      89.621 |   51.73898751 |             1.360 |         PHOTON |
|      51.874 |   65.40239251 |             1.120 |         PHOTON |
|      96.907 |   65.73857373 |             2.651 |          EVENT |
|     153.805 |   71.22025526 |             0.371 |         PHOTON |
|     109.528 |   89.76823863 |             1.401 |         PHOTON |
|     249.211 |   95.69855413 |             0.621 |         PHOTON |
|    1366.258 |   98.92744443 |             0.204 |         PHOTON |
|     265.563 |  100.85115701 |             2.215 |          EVENT |
|     176.597 |  137.44593680 |             1.249 |         PHOTON |
|      40.135 |  142.18326098 |             2.509 |         PHOTON |
|      44.119 |  162.92554879 |             1.510 |          EVENT |
|     224.474 |  169.98029938 |             0.838 |         PHOTON |
|     141.340 |  239.89405921 |             1.021 |         PHOTON |
